image_id,split
uwf4dr_rdr_dme_train_1.jpg,train
uwf4dr_rdr_dme_train_10.jpg,train
uwf4dr_rdr_dme_train_100.jpg,train
uwf4dr_rdr_dme_train_101.jpg,train
uwf4dr_rdr_dme_train_103.jpg,train
uwf4dr_rdr_dme_train_104.jpg,train
uwf4dr_rdr_dme_train_106.jpg,train
uwf4dr_rdr_dme_train_107.jpg,train
uwf4dr_rdr_dme_train_108.jpg,train
uwf4dr_rdr_dme_train_109.jpg,train
uwf4dr_rdr_dme_train_110.jpg,train
uwf4dr_rdr_dme_train_111.jpg,train
uwf4dr_rdr_dme_train_116.jpg,train
uwf4dr_rdr_dme_train_117.jpg,train
uwf4dr_rdr_dme_train_118.jpg,train
uwf4dr_rdr_dme_train_122.jpg,train
uwf4dr_rdr_dme_train_123.jpg,train
uwf4dr_rdr_dme_train_126.jpg,train
uwf4dr_rdr_dme_train_127.jpg,train
uwf4dr_rdr_dme_train_128.jpg,train
uwf4dr_rdr_dme_train_130.jpg,train
uwf4dr_rdr_dme_train_131.jpg,train
uwf4dr_rdr_dme_train_132.jpg,train
uwf4dr_rdr_dme_train_133.jpg,train
uwf4dr_rdr_dme_train_135.jpg,train
uwf4dr_rdr_dme_train_136.jpg,train
uwf4dr_rdr_dme_train_138.jpg,train
uwf4dr_rdr_dme_train_139.jpg,train
uwf4dr_rdr_dme_train_14.jpg,train
uwf4dr_rdr_dme_train_141.jpg,train
uwf4dr_rdr_dme_train_143.jpg,train
uwf4dr_rdr_dme_train_144.jpg,train
uwf4dr_rdr_dme_train_145.jpg,train
uwf4dr_rdr_dme_train_146.jpg,train
uwf4dr_rdr_dme_train_147.jpg,train
uwf4dr_rdr_dme_train_149.jpg,train
uwf4dr_rdr_dme_train_15.jpg,train
uwf4dr_rdr_dme_train_151.jpg,train
uwf4dr_rdr_dme_train_152.jpg,train
uwf4dr_rdr_dme_train_153.jpg,train
uwf4dr_rdr_dme_train_155.jpg,train
