image_id,split
uwf4dr_rdr_dme_train_100.jpg,train
uwf4dr_rdr_dme_train_101.jpg,train
uwf4dr_rdr_dme_train_103.jpg,train
uwf4dr_rdr_dme_train_104.jpg,train
uwf4dr_rdr_dme_train_105.jpg,train
uwf4dr_rdr_dme_train_106.jpg,train
uwf4dr_rdr_dme_train_107.jpg,train
uwf4dr_rdr_dme_train_108.jpg,train
uwf4dr_rdr_dme_train_110.jpg,train
uwf4dr_rdr_dme_train_111.jpg,train
uwf4dr_rdr_dme_train_112.jpg,train
uwf4dr_rdr_dme_train_114.jpg,train
uwf4dr_rdr_dme_train_117.jpg,train
uwf4dr_rdr_dme_train_119.jpg,train
uwf4dr_rdr_dme_train_120.jpg,train
uwf4dr_rdr_dme_train_121.jpg,train
uwf4dr_rdr_dme_train_122.jpg,train
uwf4dr_rdr_dme_train_123.jpg,train
uwf4dr_rdr_dme_train_125.jpg,train
uwf4dr_rdr_dme_train_126.jpg,train
uwf4dr_rdr_dme_train_13.jpg,train
uwf4dr_rdr_dme_train_130.jpg,train
uwf4dr_rdr_dme_train_131.jpg,train
uwf4dr_rdr_dme_train_132.jpg,train
uwf4dr_rdr_dme_train_133.jpg,train
uwf4dr_rdr_dme_train_137.jpg,train
uwf4dr_rdr_dme_train_138.jpg,train
uwf4dr_rdr_dme_train_139.jpg,train
uwf4dr_rdr_dme_train_140.jpg,train
uwf4dr_rdr_dme_train_143.jpg,train
uwf4dr_rdr_dme_train_144.jpg,train
uwf4dr_rdr_dme_train_145.jpg,train
uwf4dr_rdr_dme_train_146.jpg,train
uwf4dr_rdr_dme_train_147.jpg,train
uwf4dr_rdr_dme_train_148.jpg,train
uwf4dr_rdr_dme_train_149.jpg,train
uwf4dr_rdr_dme_train_150.jpg,train
uwf4dr_rdr_dme_train_151.jpg,train
uwf4dr_rdr_dme_train_152.jpg,train
uwf4dr_rdr_dme_train_156.jpg,train
uwf4dr_rdr_dme_train_158.jpg,train
uwf4dr_rdr_dme_train_159.jpg,train
uwf4dr_rdr_dme_train_16.jpg,train
uwf4dr_rdr_dme_train_160.jpg,train
uwf4dr_rdr_dme_train_161.jpg,train
uwf4dr_rdr_dme_train_163.jpg,train
uwf4dr_rdr_dme_train_164.jpg,train
uwf4dr_rdr_dme_train_166.jpg,train
uwf4dr_rdr_dme_train_168.jpg,train
uwf4dr_rdr_dme_train_17.jpg,train
uwf4dr_rdr_dme_train_170.jpg,train
